dataset,params,mean_accuracy,std_accuracy
Breast Cancer,"kernel=linear, C=0.1",0.9754,0.0170
Breast Cancer,"kernel=linear, C=1",0.9737,0.0222
Breast Cancer,"kernel=linear, C=10",0.9631,0.0244
Breast Cancer,"kernel=rbf, C=1, gamma=scale",0.9772,0.0163
Breast Cancer,"kernel=rbf, C=1, gamma=0.01",0.9649,0.0235
Breast Cancer,"kernel=rbf, C=1, gamma=0.1",0.9613,0.0131
Breast Cancer,"kernel=rbf, C=10, gamma=scale",0.9789,0.0119
Breast Cancer,"kernel=rbf, C=10, gamma=0.01",0.9807,0.0179
Breast Cancer,"kernel=rbf, C=10, gamma=0.1",0.9420,0.0263
Breast Cancer,"kernel=poly, degree=2, C=1",0.8208,0.0229
Breast Cancer,"kernel=poly, degree=3, C=1",0.9051,0.0284
Wine,"kernel=linear, C=0.1",0.9833,0.0136
Wine,"kernel=linear, C=1",0.9663,0.0110
Wine,"kernel=linear, C=10",0.9549,0.0229
Wine,"kernel=rbf, C=1, gamma=scale",0.9833,0.0222
Wine,"kernel=rbf, C=1, gamma=0.01",0.9887,0.0138
Wine,"kernel=rbf, C=1, gamma=0.1",0.9778,0.0272
Wine,"kernel=rbf, C=10, gamma=scale",0.9833,0.0222
Wine,"kernel=rbf, C=10, gamma=0.01",0.9778,0.0208
Wine,"kernel=rbf, C=10, gamma=0.1",0.9833,0.0222
Wine,"kernel=poly, degree=2, C=1",0.9157,0.0354
Wine,"kernel=poly, degree=3, C=1",0.9606,0.0291
Optical Digits,"kernel=linear, C=0.1",0.9824,0.0023
Optical Digits,"kernel=linear, C=1",0.9778,0.0023
Optical Digits,"kernel=linear, C=10",0.9778,0.0032
Optical Digits,"kernel=rbf, C=1, gamma=scale",0.9859,0.0019
Optical Digits,"kernel=rbf, C=1, gamma=0.01",0.9858,0.0019
Optical Digits,"kernel=rbf, C=1, gamma=0.1",0.9605,0.0046
Optical Digits,"kernel=rbf, C=10, gamma=scale",0.9886,0.0009
Optical Digits,"kernel=rbf, C=10, gamma=0.01",0.9895,0.0009
Optical Digits,"kernel=rbf, C=10, gamma=0.1",0.9621,0.0038
Optical Digits,"kernel=poly, degree=2, C=1",0.9868,0.0029
Optical Digits,"kernel=poly, degree=3, C=1",0.9808,0.0046
